business_name,address,phone,region,district,town,open_date,status
피엘스킨 마산점,"경상남도 창원시 마산합포구 문화동15길 16, 3층 (해운동)",,경상남도,창원시,마산합포구,,active
아우라뷰티라운지(세천점),"대구광역시 북구 학정로 415, 메가타운 10층 1001호 (동천동)",,대구광역시,북구,학정로,,active
금손수기,"경기도 수원시 영통구 매탄로108번길 16, 엔타운 3층 303호 (매탄동)",,경기도,수원시,영통구,,active
더 트리니티스파(신라모노그램 강릉),"강원특별자치도 강릉시 해안로 210, 2층 (송정동)",,강원특별자치도,강릉시,해안로,,active
블루아로마(연신내점),"서울특별시 은평구 통일로82길 6-3, 101동 2층 202호 (불광동, 연신내역 트리플라 101동)",,서울특별시,은평구,통일로82길,,active
"피부,꽃피다","광주광역시 북구 첨단연신로 240, 첨단휴먼시아 상가동 204호 (신용동)",,광주광역시,북구,첨단연신로,,active
뉴페이스바디,"부산광역시 해운대구 해운대해변로 365, 해운대 중동 스위첸 211호 (중동)",,부산광역시,해운대구,해운대해변로,,active
로제스파앤바디 강남아로마 스웨디시 두피테라피 뷰티마사지,"서울특별시 강남구 논현로87길 41, 신일유토빌 지상2층 205호, 211호 (역삼동)",,서울특별시,강남구,논현로87길,,active
씨엘미 뷰티,"대구광역시 중구 동성로6길 48, 4층 (공평동)",,대구광역시,중구,동성로6길,,active
에르벨 에스테틱 대구 삼덕점,"대구광역시 중구 동덕로 123-8, 2층 (삼덕동2가)",,대구광역시,중구,동덕로,,active
보보힐링아로마,"경기도 시흥시 서촌상가2길 10, 두원프라자 303호 (정왕동)",,경기도,시흥시,서촌상가2길,,active
리버힐스파 웰니스센터,"서울특별시 용산구 유엔빌리지3길 183, 한남동빌딩 지하1층,1층,2층 (한남동)",,서울특별시,용산구,유엔빌리지3길,,active
동탄힐링풋앤바디 동탄마사지,"경기도 화성시 동탄오산로 82, 동탄역 퍼스트프라자 1동 5층 505호 (오산동)",,경기도,화성시,동탄오산로,,active
글로인 뷰티,"서울특별시 강남구 봉은사로4길 1, 지상3층 (역삼동)",,서울특별시,강남구,봉은사로4길,,active
복부&발관리전문점,"경상남도 김해시 진영읍 진영로 193-1, 1층",,경상남도,김해시,진영읍,,active
스타아로마마사지홈타이,"서울특별시 중랑구 중랑천로5길 14, 201호 (면목동, 신원아트빌)",,서울특별시,중랑구,중랑천로5길,,active
뉴디(NEW:DI),"서울특별시 광진구 능동로44길 31, 1층 (중곡동)",,서울특별시,광진구,능동로44길,,active
브리앙슈에스테틱,"대구광역시 달서구 와룡로 169, 판매시설동 2층 101-209호 (감삼동, 월드마크웨스트엔드)",,대구광역시,달서구,와룡로,,active
페이스핏by아리따움(타임스퀘어점),"서울특별시 영등포구 영중로 15, 타임스퀘어 3층 (영등포동4가)",,서울특별시,영등포구,영중로,,active
꼼꼬미,"경기도 성남시 수정구 수정로 137-1, 3층 (태평동)",,경기도,성남시,수정구,,active
슈엘라뷰티,"경상북도 구미시 백산로 54, 2층 (송정동)",,경상북도,구미시,백산로,,active
결스며들다,"경기도 시흥시 서울대학로264번길 25, 시흥배곧 아브뉴프랑 센트럴 블루 3층 311호 (배곧동)",,경기도,시흥시,서울대학로264번길,,active
빅토리아,경기도 동두천시 생연로 128 (생연동),,경기도,동두천시,생연로,,active
삼선 스킨케어,"서울특별시 중구 청계천로 400, 메가몰동동 지하2층 B2001호 (황학동, 롯데캐슬베네치아)",,서울특별시,중구,청계천로,,active
스무살에머물다완정로점,"인천광역시 서구 완정로 126, 상가동 201호 (마전동, 검단2차우방아이유쉘)",,인천광역시,서구,완정로,,active
루시네일,"경기도 고양시 일산동구 호수로 358-39, 동문굿모닝타워I 129(일부)호 (백석동)",,경기도,고양시,일산동구,,active
뷰티와이(y) 스킨앤바디,"경상남도 김해시 장유로222번길 13, 네오시티빌딩 202호 (부곡동)",,경상남도,김해시,장유로222번길,,active
